user_id,date,start_hour,working_minutes
user_8,2025-04-08,11.51,351
user_9,2025-04-08,9.09,507
user_1,2025-04-09,10.49,320
user_10,2025-04-09,8.2,496
user_2,2025-04-09,7.56,540
user_3,2025-04-09,8.33,447
user_4,2025-04-09,7.92,666
user_5,2025-04-09,9.13,520
user_6,2025-04-09,7.74,535
user_7,2025-04-09,8.53,446
user_8,2025-04-09,8.93,519
user_9,2025-04-09,11.08,373
user_1,2025-04-10,8.66,501
user_10,2025-04-10,8.2,498
user_2,2025-04-10,7.96,458
user_3,2025-04-10,7.98,591
user_4,2025-04-10,8.42,652
user_5,2025-04-10,9.01,533
user_6,2025-04-10,8.09,457
user_7,2025-04-10,8.28,507
user_8,2025-04-10,10.43,447
user_9,2025-04-10,8.93,590
user_1,2025-04-11,10.49,332
user_10,2025-04-11,8.25,534
user_2,2025-04-11,7.91,488
user_3,2025-04-11,7.92,423
user_4,2025-04-11,8.77,296
user_5,2025-04-11,11.74,450
user_6,2025-04-11,8.11,447
user_7,2025-04-11,8.21,441
user_8,2025-04-11,8.8,550
user_9,2025-04-11,8.65,476
user_1,2025-04-14,8.48,653
user_10,2025-04-14,8.15,606
user_2,2025-04-14,7.77,642
user_3,2025-04-14,8.18,427
user_4,2025-04-14,7.98,451
user_5,2025-04-14,8.62,458
user_6,2025-04-14,11.28,455
user_7,2025-04-14,8.7,473
user_8,2025-04-14,8.78,627
user_9,2025-04-14,8.79,640
user_1,2025-04-15,10.21,477
user_10,2025-04-15,7.93,512
user_2,2025-04-15,7.97,659
user_3,2025-04-15,8.05,477
user_4,2025-04-15,7.93,461
user_5,2025-04-15,9.16,534
user_6,2025-04-15,9.86,344
user_7,2025-04-15,8.31,620
user_8,2025-04-15,8.97,521
user_9,2025-04-15,8.5,508
user_1,2025-04-16,10.0,346
user_10,2025-04-16,7.9,719
user_2,2025-04-16,8.17,648
user_3,2025-04-16,8.69,450
user_4,2025-04-16,8.15,621
user_5,2025-04-16,8.89,517
user_6,2025-04-16,8.12,606
user_7,2025-04-16,8.05,637
user_8,2025-04-16,9.11,454
user_9,2025-04-16,10.12,274
user_1,2025-04-17,8.23,467
user_10,2025-04-17,8.92,658
user_2,2025-04-17,8.14,494
user_3,2025-04-17,8.66,512
user_4,2025-04-17,8.14,436
user_5,2025-04-17,8.82,450
user_6,2025-04-17,8.4,451
user_7,2025-04-17,10.11,472
user_8,2025-04-17,8.5,500
user_9,2025-04-17,8.85,582
user_1,2025-04-18,10.26,322
user_10,2025-04-18,8.29,540
user_2,2025-04-18,7.76,504
user_3,2025-04-18,10.9,248
user_4,2025-04-18,10.19,279
user_5,2025-04-18,8.71,532
user_6,2025-04-18,10.34,452
user_7,2025-04-18,8.49,477
user_8,2025-04-18,8.76,495
user_9,2025-04-18,8.96,470
user_1,2025-04-21,8.1,569
user_10,2025-04-21,10.23,344
user_2,2025-04-21,7.67,443
user_3,2025-04-21,8.36,466
user_4,2025-04-21,7.35,636
user_5,2025-04-21,8.72,559
user_6,2025-04-21,10.19,379
user_7,2025-04-21,8.28,428
user_8,2025-04-21,9.12,439
user_9,2025-04-21,9.84,496
user_1,2025-04-22,8.47,481
user_10,2025-04-22,10.5,542
user_2,2025-04-22,8.29,691
user_3,2025-04-22,8.37,395
user_4,2025-04-22,8.02,492
user_5,2025-04-22,9.12,641
user_6,2025-04-22,8.06,461
user_7,2025-04-22,8.39,496
user_8,2025-04-22,10.45,399
user_9,2025-04-22,8.27,457
user_1,2025-04-23,8.22,530
user_10,2025-04-23,8.08,516
user_2,2025-04-23,7.9,479
user_3,2025-04-23,8.89,583
user_4,2025-04-23,7.75,479
user_5,2025-04-23,8.93,559
user_6,2025-04-23,9.85,470
user_7,2025-04-23,8.77,638
user_8,2025-04-23,8.53,528
user_9,2025-04-23,8.74,601
user_1,2025-04-24,9.05,590
user_10,2025-04-24,7.83,472
user_2,2025-04-24,8.45,640
user_3,2025-04-24,11.2,559
user_4,2025-04-24,7.73,611
user_5,2025-04-24,8.83,564
user_6,2025-04-24,10.1,352
user_7,2025-04-24,8.4,615
user_8,2025-04-24,8.74,484
user_9,2025-04-24,8.65,465
user_1,2025-04-25,8.42,471
user_10,2025-04-25,7.68,478
user_2,2025-04-25,11.01,345
user_3,2025-04-25,9.99,275
user_4,2025-04-25,7.94,573
user_5,2025-04-25,9.44,510
user_6,2025-04-25,8.08,666
user_7,2025-04-25,8.55,480
user_8,2025-04-25,11.21,323
user_9,2025-04-25,8.46,458
